CustomerKey|FirstName|LastName|BirthDate|MaritalStatus|Gender|YearlyIncome|EnglishEducation|EnglishOccupation|NumberCarsOwned|Order_Count|SalesAmount
11015|Chloe|Young|1984-08-26|S|F|30000|Partial College|Skilled Manual|1|3|2500.97
11016|Wyatt|Hill|1984-10-25|M|M|30000|Partial College|Skilled Manual|1|3|2332.28
11017|Shannon|Wang|1949-12-24|S|F|20000|High School|Skilled Manual|2|4|6434.31
11018|Clarence|Rai|1955-10-06|S|M|30000|Partial College|Clerical|2|7|6533.28
11019|Luke|Lal|1983-09-04|S|M|40000|High School|Skilled Manual|2|33|882.7
11020|Jordan|King|1984-03-19|S|M|40000|High School|Skilled Manual|2|2|2316.97
11021|Destiny|Wilson|1984-03-02|S|F|40000|Partial College|Skilled Manual|1|3|2371.96
11022|Ethan|Zhang|1984-04-10|M|M|40000|Partial College|Skilled Manual|1|2|2322.28
11023|Seth|Edwards|1984-04-09|M|M|40000|Partial College|Skilled Manual|1|6|122.24
11025|Alejandro|Beck|1951-06-22|M|M|10000|Partial High School|Clerical|2|6|6576.8
11026|Harold|Sai|1951-10-01|S|M|30000|Partial College|Clerical|2|7|6575.79
11027|Jessie|Zhao|1952-06-05|M|M|30000|Partial College|Clerical|2|9|6591.57
11028|Jill|Jimenez|1951-10-09|M|F|30000|Partial College|Clerical|2|5|6474.62
11029|Jimmy|Moreno|1952-06-19|M|M|30000|Partial College|Clerical|2|7|6565.29
11030|Bethany|Yuan|1958-02-18|M|F|10000|Partial High School|Clerical|2|4|6471.32
11031|Theresa|Ramos|1953-02-18|M|F|20000|High School|Skilled Manual|2|6|6478.6
11032|Denise|Stone|1952-12-08|M|F|20000|High School|Skilled Manual|2|10|6525.56
11033|Jaime|Nath|1958-09-19|M|M|20000|High School|Skilled Manual|2|7|6495.29
11034|Ebony|Gonzalez|1952-12-16|M|F|20000|High School|Skilled Manual|2|4|6491.32
11035|Wendy|Dominguez|1953-08-23|M|F|10000|Partial High School|Clerical|2|5|6451.31
11037|Chloe|Garcia|1983-05-27|S|F|40000|Partial High School|Clerical|2|7|2374.23
11038|Diana|Hernandez|1953-09-20|M|F|10000|Partial High School|Clerical|2|3|6437.33
11039|Marc|Martin|1954-06-16|M|M|30000|Partial College|Clerical|2|9|6636.58
11040|Jesse|Murphy|1983-01-29|M|M|30000|Partial College|Skilled Manual|2|3|2350.96
11044|Adam|Flores|1954-11-21|M|M|20000|Partial High School|Clerical|2|7|6515.3
11045|Leonard|Nara|1955-11-16|S|M|30000|High School|Skilled Manual|2|4|114.96
11046|Christine|Yuan|1955-09-19|M|F|30000|High School|Skilled Manual|2|6|6616.81
11047|Jaclyn|Lu|1955-08-27|M|F|30000|High School|Skilled Manual|2|4|6582.33
11048|Jeremy|Powell|1956-05-21|M|M|30000|High School|Skilled Manual|2|8|6498.24
11049|Carol|Rai|1986-01-15|S|F|40000|Partial High School|Clerical|2|5|81.26
11050|Alan|Zheng|1957-03-06|M|M|30000|High School|Skilled Manual|2|6|5007.3
11051|Daniel|Johnson|1957-01-31|S|M|30000|High School|Skilled Manual|2|5|123.95
11052|Heidi|Lopez|1957-02-03|S|F|40000|Partial College|Clerical|2|7|8131.32
11054|Deanna|Munoz|1957-09-07|M|F|40000|Partial College|Skilled Manual|2|6|8223.02
11055|Gilbert|Raje|1957-09-02|M|M|40000|Partial College|Skilled Manual|2|8|8168.01
11056|Michele|Nath|1958-10-01|M|F|40000|Partial College|Skilled Manual|2|8|8207.5
11062|Noah|Powell|1981-03-01|M|M|40000|High School|Skilled Manual|2|3|2351.96
11063|Angela|Murphy|1980-10-04|S|F|40000|High School|Skilled Manual|2|5|2372.95
11064|Chase|Reed|1981-06-05|M|M|40000|High School|Skilled Manual|2|2|2304.98
11078|Gina|Martin|1985-01-06|S|F|40000|High School|Professional|2|31|913.27
11119|Evan|James|1940-10-07|S|M|30000|Partial College|Clerical|2|4|85.22
11120|Beth|Jiménez|1942-02-06|S|F|40000|Bachelors|Management|1|10|8242.49
11126|Shaun|Carson|1954-10-05|M|M|10000|High School|Skilled Manual|2|8|4972.37
11127|Jan|Edwards|1981-04-19|M|F|40000|High School|Skilled Manual|1|3|43.98
11128|Samantha|Long|1981-06-03|M|F|40000|High School|Skilled Manual|1|7|143.94
11129|Julia|Wright|1981-02-01|S|F|40000|High School|Skilled Manual|1|2|5873.26
11130|Caroline|Russell|1985-07-05|M|F|30000|High School|Skilled Manual|2|2|37.29
11131|Amanda|Rivera|1985-09-09|M|F|30000|High School|Skilled Manual|2|9|165.91
11132|Melissa|Richardson|1986-04-25|S|F|30000|High School|Skilled Manual|2|6|2371.94
11133|Angela|Griffin|1986-03-08|S|F|30000|Partial High School|Clerical|2|4|71.96
11134|Larry|Townsend|1957-02-22|S|M|10000|High School|Skilled Manual|2|3|4911.83
11135|Marcus|Harris|1985-05-02|S|M|30000|Partial High School|Clerical|2|3|2334.97
11136|Brianna|Morgan|1984-04-24|S|F|40000|High School|Skilled Manual|2|3|2380.47
11137|Jasmine|Taylor|1984-01-17|M|F|40000|High School|Skilled Manual|2|5|202.57
11138|Lauren|Davis|1984-03-14|M|F|40000|High School|Skilled Manual|2|4|78.97
11139|Tanya|Moreno|1949-11-05|S|F|30000|Partial College|Clerical|2|3|83.97
11140|Javier|Alvarez|1982-08-11|S|M|30000|Partial High School|Clerical|2|2|39.99
11141|Nicole|Ramirez|1982-12-19|M|F|40000|High School|Skilled Manual|2|5|113.96
11142|Eduardo|Patterson|1983-02-11|S|M|40000|High School|Skilled Manual|2|36|980.77
11143|Jonathan|Henderson|1982-08-04|M|M|40000|High School|Skilled Manual|2|5|48.56
11144|Edward|Hernandez|1985-03-08|S|M|40000|High School|Skilled Manual|2|3|2399.97
11145|Jasmine|Coleman|1985-06-06|S|F|40000|High School|Skilled Manual|2|3|2309.97
11146|Karla|Goel|1945-02-22|S|F|40000|Bachelors|Management|2|7|112.93
11148|Ross|Vazquez|1947-02-13|M|M|40000|Bachelors|Management|2|6|126.24
11149|Theodore|Gill|1946-10-18|M|M|40000|Bachelors|Management|2|4|41.26
11150|Russell|Shen|1946-09-12|S|M|40000|Bachelors|Management|2|8|192.42
11152|James|Williams|1981-07-09|S|M|40000|High School|Skilled Manual|2|1|2294.99
11153|Angela|James|1981-12-21|M|F|40000|High School|Skilled Manual|2|5|109.77
11154|Megan|Walker|1982-02-18|S|F|40000|Partial College|Skilled Manual|1|1|2319.99
11155|Hunter|Robinson|1981-07-25|S|M|40000|Partial College|Skilled Manual|1|1|2319.99
11156|Maria|Roberts|1981-08-06|S|F|40000|Partial College|Skilled Manual|1|4|2389.97
11157|Hannah|Long|1980-12-08|M|F|40000|High School|Skilled Manual|2|3|41.28
11158|Jason|Wright|1981-04-06|S|M|40000|High School|Skilled Manual|2|3|2395.96
11159|Brianna|Hughes|1981-03-16|S|F|40000|High School|Skilled Manual|2|5|48.56
11160|Maurice|Tang|1979-07-08|S|M|40000|Partial College|Skilled Manual|1|2|2322.28
11161|Emily|Wood|1979-10-20|S|F|40000|Partial College|Skilled Manual|1|6|93.95
11162|Chase|Cox|1979-09-02|S|M|40000|Partial College|Skilled Manual|1|2|2329.98
