First_Name,Last_Name,DOB,MaritalStatus,Gender,EmailAddress,Education,Occupation,Income,children,Cars 
Aaron,Finch,2000-01-01,M,M,johyun@adventure.com,Bachelors,Professional,90000,2,0
Eugene,Huang,1976-05-10,S,M,eugene10@adventure-works.com,Bachelors,Professional,60000,3,1
Ruben,Torres,1971-02-09,M,M,ruben35@adventure-works.com,Bachelors,Professional,60000,3,1
Christy,Zhu,1973-08-14,S,F,christy12@adventure-works.com,Bachelors,Professional,70000,0,1
Elizabeth,Johnson,1979-08-05,S,F,elizabeth5@adventure-works.com,Bachelors,Professional,80000,5,4
Julio,Ruiz,1976-08-01,S,M,julio1@adventure-works.com,Bachelors,Professional,70000,0,1
Janet,Alvarez,1976-12-02,S,F,janet9@adventure-works.com,Bachelors,Professional,70000,0,1
Marco,Mehta,1969-11-06,M,M,marco14@adventure-works.com,Bachelors,Professional,60000,3,2
Rob,Verhoff,1975-07-04,S,F,rob4@adventure-works.com,Bachelors,Professional,60000,4,3
Shannon,Carlson,1969-09-29,S,M,shannon38@adventure-works.com,Bachelors,Professional,70000,0,1
Jacquelyn,Suarez,1969-08-05,S,F,jacquelyn20@adventure-works.com,Bachelors,Professional,70000,0,1
Curtis,Lu,1969-05-03,M,M,curtis9@adventure-works.com,Bachelors,Professional,60000,4,4
Lauren,Walker,1979-01-14,M,F,lauren41@adventure-works.com,Bachelors,Management,100000,2,2
Ian,Jenkins,1979-08-03,M,M,ian47@adventure-works.com,Bachelors,Management,100000,2,3
Sydney,Bennett,1973-11-06,S,F,sydney23@adventure-works.com,Bachelors,Management,100000,3,3
Chloe,Young,1984-08-26,S,F,chloe23@adventure-works.com,Partial College,Skilled Manual,30000,0,1
Wyatt,Hill,1984-10-25,M,M,wyatt32@adventure-works.com,Partial College,Skilled Manual,30000,0,1
Shannon,Wang,1949-12-24,S,F,shannon1@adventure-works.com,High School,Skilled Manual,20000,4,2
Clarence,Rai,1955-10-06,S,M,clarence32@adventure-works.com,Partial College,Clerical,30000,2,2
Luke,Lal,1983-09-04,S,M,luke18@adventure-works.com,High School,Skilled Manual,40000,0,2
Jordan,King,1984-03-19,S,M,jordan73@adventure-works.com,High School,Skilled Manual,40000,0,2
Destiny,Wilson,1984-03-02,S,F,destiny7@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Ethan,Zhang,1984-04-10,M,M,ethan20@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Seth,Edwards,1984-04-09,M,M,seth46@adventure-works.com,Partial College,Skilled Manual,40000,0,1
Russell,Xie,1984-03-16,M,M,russell7@adventure-works.com,Partial College,Skilled Manual,60000,0,2
Alejandro,Beck,1951-06-22,M,M,alejandro45@adventure-works.com,Partial High School,Clerical,10000,2,2
Harold,Sai,1951-10-01,S,M,harold3@adventure-works.com,Partial College,Clerical,30000,2,2
Jessie,Zhao,1952-06-05,M,M,jessie16@adventure-works.com,Partial College,Clerical,30000,2,2
Jill,Jimenez,1951-10-09,M,F,jill13@adventure-works.com,Partial College,Clerical,30000,2,2
Jimmy,Moreno,1952-06-19,M,M,jimmy9@adventure-works.com,Partial College,Clerical,30000,2,2
Bethany,Yuan,1958-02-18,M,F,bethany10@adventure-works.com,Partial High School,Clerical,10000,2,2
Theresa,Ramos,1953-02-18,M,F,theresa13@adventure-works.com,High School,Skilled Manual,20000,4,2
Denise,Stone,1952-12-08,M,F,denise10@adventure-works.com,High School,Skilled Manual,20000,4,2
Jaime,Nath,1958-09-19,M,M,jaime41@adventure-works.com,High School,Skilled Manual,20000,4,2
Ebony,Gonzalez,1952-12-16,M,F,ebony19@adventure-works.com,High School,Skilled Manual,20000,4,2
Wendy,Dominguez,1953-08-23,M,F,wendy12@adventure-works.com,Partial High School,Clerical,10000,2,2
Jennifer,Russell,1984-06-16,M,F,jennifer93@adventure-works.com,Partial College,Skilled Manual,60000,0,2
Chloe,Garcia,1983-05-27,S,F,chloe27@adventure-works.com,Partial High School,Clerical,40000,0,2
Diana,Hernandez,1953-09-20,M,F,diana2@adventure-works.com,Partial High School,Clerical,10000,2,2
Marc,Martin,1954-06-16,M,M,marc3@adventure-works.com,Partial College,Clerical,30000,3,2
Jesse,Murphy,1983-01-29,M,M,jesse15@adventure-works.com,Partial College,Skilled Manual,30000,0,2
Amanda,Carter,1983-04-15,M,F,amanda53@adventure-works.com,Partial College,Skilled Manual,60000,0,2
Megan,Sanchez,1982-12-11,M,F,megan28@adventure-works.com,Partial College,Skilled Manual,70000,0,2
Nathan,Simmons,1981-08-23,M,M,nathan11@adventure-works.com,Partial College,Skilled Manual,60000,0,2
Adam,Flores,1954-11-21,M,M,adam10@adventure-works.com,Partial High School,Clerical,20000,2,2
Leonard,Nara,1955-11-16,S,M,leonard18@adventure-works.com,High School,Skilled Manual,30000,3,2
Christine,Yuan,1955-09-19,M,F,christine4@adventure-works.com,High School,Skilled Manual,30000,3,2
Jaclyn,Lu,1955-08-27,M,F,jaclyn12@adventure-works.com,High School,Skilled Manual,30000,3,2
Jeremy,Powell,1956-05-21,M,M,jeremy26@adventure-works.com,High School,Skilled Manual,30000,3,2
Carol,Rai,1986-01-15,S,F,carol8@adventure-works.com,Partial High School,Clerical,40000,0,2
Alan,Zheng,1957-03-06,M,M,alan23@adventure-works.com,High School,Skilled Manual,30000,3,2
Daniel,Johnson,1957-01-31,S,M,daniel18@adventure-works.com,High School,Skilled Manual,30000,3,2
