FN,MN,LN,Email,CustomerKey,DOB,Occupation,SalesAmount
Jon,Yang,V,jon24@adve,11000,1971-10-06,Professional,3399.99
Jon,Yang,V,jon24@adve,11000,1971-10-06,Professional,53.99
Jon,Yang,V,jon24@adve,11000,1971-10-06,Professional,2319.99
Jon,Yang,V,jon24@adve,11000,1971-10-06,Professional,34.99
Jon,Yang,V,jon24@adve,11000,1971-10-06,Professional,21.98
Jon,Yang,V,jon24@adve,11000,1971-10-06,Professional,4.99
Jon,Yang,V,jon24@adve,11000,1971-10-06,Professional,28.99
Jon,Yang,V,jon24@adve,11000,1971-10-06,Professional,2384.07
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,4.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,21.98
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,539.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,3374.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,8.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,4.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,34.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,2319.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,9.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,53.99
Eugene,Huang,L,eugene10@a,11001,1976-05-10,Professional,8.99
Ruben,Torres,,ruben35@ad,11002,1971-02-09,Professional,2384.07
Ruben,Torres,,ruben35@ad,11002,1971-02-09,Professional,2294.99
Ruben,Torres,,ruben35@ad,11002,1971-02-09,Professional,34.99
Ruben,Torres,,ruben35@ad,11002,1971-02-09,Professional,3399.99
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,2.29
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,8.99
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,4.99
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,3399.99
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,28.99
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,4.99
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,2384.07
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,9.99
Christy,Zhu,,christy12@,11003,1973-08-14,Professional,2294.99
Elizabeth,Johnson,,elizabeth5,11004,1979-08-05,Professional,34.99
Elizabeth,Johnson,,elizabeth5,11004,1979-08-05,Professional,34.99
Elizabeth,Johnson,,elizabeth5,11004,1979-08-05,Professional,2384.07
Elizabeth,Johnson,,elizabeth5,11004,1979-08-05,Professional,2319.99
Elizabeth,Johnson,,elizabeth5,11004,1979-08-05,Professional,21.98
Elizabeth,Johnson,,elizabeth5,11004,1979-08-05,Professional,3399.99
Julio,Ruiz,,julio1@adv,11005,1976-08-01,Professional,2384.07
Julio,Ruiz,,julio1@adv,11005,1976-08-01,Professional,2.29
Julio,Ruiz,,julio1@adv,11005,1976-08-01,Professional,35
Julio,Ruiz,,julio1@adv,11005,1976-08-01,Professional,2319.99
Julio,Ruiz,,julio1@adv,11005,1976-08-01,Professional,4.99
Julio,Ruiz,,julio1@adv,11005,1976-08-01,Professional,3374.99
